cntry;name;portfolio;took_office;left_office;party;period;in_office;state_secs;ministry;term;deputies;position
PL;Henryk Kowalczyk;Minister of Agriculture and Rural Development;26 October 2021;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Błaszczak;Minister of National Defence;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jacek Czaputowicz;Minister of Foreign Affairs;15 November 2019;20 August 2020;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Zbigniew Rau;Minister of Foreign Affairs;26 August 2020;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Michał Dworczyk;Minister, Chief of the Chancellery of the Prime Minister;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jadwiga Emilewicz;Minister of development;15 November 2019;6 October 2020;Agreement;NA;NA;NA;NA;NA;NA;NA
PL;Jadwiga Emilewicz;Deputy Prime Minister;9 April 2020;6 October 2020;Agreement;NA;NA;NA;NA;NA;NA;NA
PL;Marek Gróbarczyk;Minister of Marine Economy and Inland Navigation;15 November 2019;6 October 2020;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Małgorzata Jarosińska-Jedynak;Minister of Funds and Regional Policy;15 November 2019;6 October 2020;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Grzegorz Puda;Minister of Funds and Regional Policy;26 October 2021;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Kamiński;Minister of Interior and Administration;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Tadeusz Kościński;Minister of Finances;15 November 2019;;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Michał Kurtyka;Minister of Climate and Environment;15 November 2019;26 October 2021;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Anna Moskwa;Minister of Climate and Environment;26 October 2021;;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Marlena Maląg;Minister of Family, Labour and Social Policy;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Dariusz Piontkowski;Minister of National Education;15 November 2019;19 October 2020;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Łukasz Schreiber;Minister;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Michał Wójcik;Minister;6 October 2020;;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Michał Cieślak;Minister;6 October 2020;;The Republicans;NA;NA;NA;NA;NA;NA;NA
PL;Łukasz Szumowski;Minister of Health;15 November 2019;20 August 2020;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Adam Niedzielski;Minister of Health;26 August 2020;;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Konrad Szymański;Minister for the European Union;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Michał Woś;Minister of Environment;15 November 2019;6 October 2020;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Marek Zagórski;Minister of Digital Affairs;15 November 2019;;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Zbigniew Ziobro;Minister of Justice;15 November 2019;;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Danuta Dmowska-Andrzejuk;Minister of Sport;5 December 2019;6 October 2020;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Kamil Bortniczuk;Minister of Sport and Tourism;26 October 2021;;The Republicans;NA;NA;NA;NA;NA;NA;NA
PL;Mateusz Morawiecki;Prime Minister;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mateusz Morawiecki;"Minister of Economic Development
Minister of Finance";11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Piotr Gliński;Deputy Prime Minister;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Piotr Gliński;Minister of Culture and National Heritage;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jarosław Gowin;Deputy Prime Minister;11 December 2017;15 November 2019;Agreement;NA;NA;NA;NA;NA;NA;NA
PL;Jarosław Gowin;Minister of Science and Higher Education;11 December 2017;15 November 2019;Agreement;NA;NA;NA;NA;NA;NA;NA
PL;Beata Szydło;Deputy Prime Minister;11 December 2017;4 June 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jacek Sasin;Deputy Prime Minister;4 June 2019;15 Novemvber 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Andrzej Adamczyk;Minister of Infrastructure and Construction;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Andrzej Adamczyk;Minister of Infrastructure;9 January 2018;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Witold Bańka;Minister of Sport and Tourism;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Błaszczak;Minister of Interior and Administration;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Błaszczak;Minister of National Defence;9 January 2018;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Marek Gróbarczyk;Minister of Marine Economy;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Krzysztof Jurgiel;Minister of Agriculture and Rural Development;11 December 2017;19 June 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Kamiński;Minister;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Mariusz Kamiński;Minister of Interior and Administration;14 August 2019;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Beata Kempa;Minister of the Council of Ministers, Chief of the Chancellery of the Prime Minister;11 December 2017;4 June 2019;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Michał Dworczyk;Chief of the Chancellery;19 December 2017;15 Novemvber 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Michał Woś;Minister of the Council of Ministers;4 June 2019;15 November 2019;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Henryk Kowalczyk;Minister;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Henryk Kowalczyk;Minister of Environment;9 January 2018;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Antoni Macierewicz;Minister of National Defence;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Konstanty Radziwiłł;Minister of Health;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Elżbieta Rafalska;Minister of Family, Labour and Social Policy;11 December 2017;4 June 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Bożena Borys-Szopa;Minister of Family, Labour and Social Policy;4 June 2019;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Anna Streżyńska;Minister of Digital Affairs;11 December 2017;9 January 2018;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Marek Zagórski;Minister of Digital Affairs;17 April 2018;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jan Szyszko (PiS);Minister of Environment;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Krzysztof Tchórzewski;Minister of Energy;11 December 2017;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Witold Waszczykowski;Minister of Foreign Affairs;11 December 2017;9 January 2018;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Elżbieta Witek;Minister of the Council of Ministers;11 December 2017;18 December 2017;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Elżbieta Witek;Minister of Interior and Administration;4 June 2019;9 August 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Anna Zalewska;Minister of National Education;11 December 2017;4 June 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Dariusz Piontkowski;Minister of National Education;4 June 2019;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Zbigniew Ziobro;Minister of Justice;11 December 2017;15 November 2019;United Poland;NA;NA;NA;NA;NA;NA;NA
PL;Joachim Brudziński;Minister of Interior and Administration;9 January 2018;4 June 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jacek Czaputowicz;Minister of Foreign Affairs;9 January 2018;15 November 2019;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Teresa Czerwińska;Minister of Finance;9 January 2018;4 June 2019;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Marian Banaś;Minister of Finance;4 June 2019;30 August 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
PL;Jadwiga Emilewicz;Minister of Entrepreneurship and Technology;9 January 2018;15 November 2019;Agreement;NA;NA;NA;NA;NA;NA;NA
PL;Jerzy Kwieciński;Minister of Investment and Economic Development;9 January 2018;15 November 2019;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Łukasz Szumowski;Minister of Health;9 January 2018;15 November 2019;Independent;NA;NA;NA;NA;NA;NA;NA
PL;Jan Krzysztof Ardanowski;Minister of Agriculture and Rural Development;20 June 2018;15 November 2019;Law and Justice;NA;NA;NA;NA;NA;NA;NA
RO;Florin Cîțu;Prime Minister;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Dan Barna;Deputy Prime Minister;23 December 2020;7 September 2021;USR;NA;NA;NA;NA;NA;NA;NA
RO;Hunor Kelemen;Deputy Prime Minister;23 December 2020;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Bogdan Aurescu;Minister of Foreign Affairs;23 December 2020;25 November 2021;Independent;NA;NA;NA;NA;NA;NA;NA
RO;Lucian Bode;Minister of Internal Affairs;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Nechita-Adrian Oros;Minister of Agriculture and Rural Development;23 December 2020;28 September 2021[32];PNL;NA;NA;NA;NA;NA;NA;NA
RO;Nicolae Ciucă;Minister of National Defence;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Ciprian Teleman;Minister of Research, Innovation and Digitalization;23 December 2020;7 September 2021;PLUS;NA;NA;NA;NA;NA;NA;NA
RO;Barna Tánczos (acting);Minister of Research, Innovation and Digitalization;8 September 2021;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Bogdan Gheorghiu;Minister of Culture;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Attila Cseke;Minister for Development, Public Works and Administration;23 December 2020;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Sorin Cîmpeanu;Minister of Education;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Virgil-Daniel Popescu;Minister of Energy;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Claudiu Năsui;Minister of Economy, Entrepreneurship and Tourism;23 December 2020;7 September 2021;USR;NA;NA;NA;NA;NA;NA;NA
RO;Virgil Popescu (acting);Minister of Economy, Entrepreneurship and Tourism;8 September 2021;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Raluca Turcan;Minister of Labour and Social Protection;23 December 2020;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Barna Tánczos;Minister of Environment, Water and Forests;23 December 2020;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Cătălin Drulă;Minister for Transport and Infrastructure;23 December 2020;7 September 2021;USR;NA;NA;NA;NA;NA;NA;NA
RO;Dan Vîlceanu (acting);Minister for Transport and Infrastructure;8 September 2021;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Alexandru Nazare;Minister of Finance;23 December 2020;8 July 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Florin Cîțu (acting);Minister of Finance;8 July 2021;18 August 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Dan Vîlceanu;Minister of Finance;18 August 2021;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Stelian Ion;Minister of Justice;23 December 2020;1 September 2021;USR;NA;NA;NA;NA;NA;NA;NA
RO;Lucian Bode (acting);Minister of Justice;1 September 2021;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Vlad Voiculescu;Minister of Health;23 December 2020;14 April 2021;PLUS;NA;NA;NA;NA;NA;NA;NA
RO;Florin Cîțu (acting);Minister of Health;14 April 2021;21 April 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Ioana Mihăilă;Minister of Health;21 April 2021;7 September 2021;PLUS;NA;NA;NA;NA;NA;NA;NA
RO;Attila Cseke (acting);Minister of Health;8 September 2021;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Cristian Ghinea;Minister of Investments and European Projects;23 December 2020;7 September 2021;USR;NA;NA;NA;NA;NA;NA;NA
RO;Florin Cîțu (acting);Minister of Investments and European Projects;8 September 2021;25 November 2021;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Eduard Novak;Minister for Youth and Sport;23 December 2020;25 November 2021;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Nicolae Ciucă;Prime Minister;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Sorin Grindeanu;Deputy Prime Minister;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Kelemen Hunor;Deputy Prime Minister;25 November 2021;NA;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Marian Neacșu;Secretary-General of the Government;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Bogdan Aurescu;Minister of Foreign Affairs;25 November 2021;NA;Ind.;NA;NA;NA;NA;NA;NA;NA
RO;Lucian Bode;Minister of Internal Affairs;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Adrian Chesnoiu;Minister of Agriculture and Rural Development;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Vasile Dîncu;Minister of National Defence;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Florin Roman;Minister of Research, Innovation and Digitalisation;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Lucian Romașcanu;Minister of Culture;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Cseke Attila;Minister of Development, Public Works and Administration;25 November 2021;NA;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Sorin Cîmpeanu;Minister of Education;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Virgil Popescu;Minister of Energy;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Florin Spătaru;Minister of Economy;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Marius Budăi;Minister of Labour and Social Solidarity;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Tánczos Barna;Minister of Environment, Water and Forests;25 November 2021;NA;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Sorin Grindeanu;Minister of Transport and Infrastructure;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Adrian Câciu[22];Minister of Finance;25 November 2021;NA;Ind.;NA;NA;NA;NA;NA;NA;NA
RO;Cătălin Predoiu;Minister of Justice;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Alexandru Rafila;Minister of Health;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Dan Vîlceanu;Minister of Investments and European Projects;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
RO;Eduard Novak;Minister of Sport;25 November 2021;NA;UDMR;NA;NA;NA;NA;NA;NA;NA
RO;Gabriela Firea;Minister of Family, Youth and Equality of Opportunity;25 November 2021;NA;PSD;NA;NA;NA;NA;NA;NA;NA
RO;Constantin Cadariu;Minister of Entrepreneurship and Tourism;25 November 2021;NA;PNL;NA;NA;NA;NA;NA;NA;NA
SE;Stefan Löfven;Prime Minister;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Margot Wallström (de facto);Deputy Prime Ministernot a separate minister post;21 January 2019;10 September 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Morgan Johansson (de facto);Deputy Prime Ministernot a separate minister post;10 September 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Isabella Lövin (de jure);Deputy Prime Ministernot a separate minister post;21 January 2019;5 February 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Per Bolund (de jure);Deputy Prime Ministernot a separate minister post;5 February 2021;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Hans Dahlgren;Minister for EU Affairs;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Morgan Johansson;Minister for JusticeMinister for Migration;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Mikael Damberg;Minister of the Interior;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Margot Wallström;Minister for Foreign Affairs;21 January 2019;10 September 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ann Linde;Minister for Foreign Affairs;10 September 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ann Linde;Minister for Foreign Trade Minister for Nordic Cooperation;21 January 2019;10 September 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anna Hallberg;Minister for Foreign Trade Minister for Nordic Cooperation;10 September 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Peter Eriksson;Minister for International Development Cooperation;21 January 2019;17 December 2020;Green;NA;NA;NA;NA;NA;NA;NA
SE;Isabella Lövin (acting);Minister for International Development Cooperation;17 December 2020;5 February 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Per Olsson Fridh;Minister for International Development Cooperation;5 February 2021;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Peter Hultqvist;Minister for Defence;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Lena Hallengren;Minister for Health and Social Affairs;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Annika Strandhäll;Minister for Social Security;21 January 2019;1 October 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ardalan Shekarabi;Minister for Social Security;1 October 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Magdalena Andersson;Minister for Finance;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Per Bolund;Minister for Financial MarketsMinister for HousingDeputy Minister for Finance;21 January 2019;5 February 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Åsa Lindhagen;Minister for Financial MarketsDeputy Minister for Finance;5 February 2021;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Ardalan Shekarabi;Minister for Public AdministrationMinister for Consumer Affairs;21 January 2019;1 October 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Lena Micko;Minister for Public AdministrationMinister for Consumer Affairs;1 October 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anna Ekström;Minister for Education;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Matilda Ernkrans;Minister for Higher Education and Research;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Isabella Lövin;Minister for the EnvironmentMinister for the Climate;21 January 2019;5 February 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Per Bolund;Minister for the EnvironmentMinister for the Climate;5 February 2021;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Ibrahim Baylan;Minister for Enterprise;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Jennie Nilsson;Minister for Rural Affairs;21 January 2019;30 June 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Amanda Lind;Minister for CultureMinister for Democracy Minister for Sports;21 January 2019;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Ylva Johansson;Minister for Employment;21 January 2019;10 September 2019;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Eva Nordmark;Minister for Employment;10 September 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Åsa Lindhagen;Minister for Gender EqualityMinister with responsibility for anti-discrimination and anti-segregation;21 January 2019;5 February 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Märta Stenevi;Minister for Gender EqualityMinister for Housing Minister with responsibility for anti-discrimination and anti-segregation;5 February 2021;9 July 2021;Green;NA;NA;NA;NA;NA;NA;NA
SE;Tomas Eneroth;Minister for Infrastructure;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anders Ygeman;Minister for EnergyMinister for Digital Development;21 January 2019;9 July 2021;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Magdalena Andersson;Prime Minister;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Morgan Johansson;Deputy Prime Minister not a separate minister post;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Hans Dahlgren;Minister for EU Affairs;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Morgan Johansson;Minister for JusticeMinister of the Interior;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anders Ygeman;Minister for IntegrationMinister for MigrationMinister for Sports;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ann Linde;Minister for Foreign Affairs;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anna Hallberg;Minister for Foreign Trade Minister for Nordic Cooperation;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Matilda Ernkrans;Minister for International Development Cooperation;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Peter Hultqvist;Minister for Defence;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Lena Hallengren;Minister for Health and Social Affairs;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ardalan Shekarabi;Minister for Social Security;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Mikael Damberg;Minister for Finance;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Max Elger;Minister for Financial MarketsMinister for Consumer AffairsDeputy Minister for Finance;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Ida Karkiainen;Minister for Public Administration;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anna Ekström;Minister for Education;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Lina Axelsson Kihlblom;Minister for Schools;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Annika Strandhäll;Minister for the EnvironmentMinister for the Climate;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Karl-Petter Thorwaldsson;Minister for Enterprise;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Anna-Caren Sätherberg;Minister for Rural Affairs;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Jeanette Gustafsdotter;Minister for CultureMinister for Democracy;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Eva Nordmark;Minister for Employment;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Johan Danielsson;Minister for HousingDeputy Minister for Employment;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Tomas Eneroth;Minister for Infrastructure;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SE;Khashayar Farmanbar;Minister for EnergyMinister for Digital Development;30 November 2021;Incumbent;Social Democratic;NA;NA;NA;NA;NA;NA;NA
SI;Janez Janša;Prime Minister;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Zdravko Počivalšek;Deputy Prime MinisterMinister of Economic Development and Technology;13 March 2020;NA;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Matej Tonin;Deputy Prime MinisterMinister of Defence;13 March 2020;NA;NSi;NA;NA;NA;NA;NA;NA;NA
SI;Jože Podgoršek;Minister of Agriculture, Forestry and Food;15 October 2020;NA;DeSUS;NA;NA;NA;NA;NA;NA;NA
SI;Simona Kustec;Minister of Education, Science and Sport;13 March 2020;NA;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Janez Cigler Kralj;Minister of Labour, Family, Social Affairs and Equal Opportunity;13 March 2020;NA;NSi;NA;NA;NA;NA;NA;NA;NA
SI;Jernej Vrtovec;Minister of Infrastructure;13 March 2020;NA;NSi;NA;NA;NA;NA;NA;NA;NA
SI;Aleš Hojs;Minister of the Interior;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Andrej Vizjak;Minister of Environment and Spatial Planning;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Andrej Šircelj;Minister of Finance;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Vasko Simoniti;Minister of Culture;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;"Janez Poklukar
";Minister of Health;23 February 2021;NA;Ind.;NA;NA;NA;NA;NA;NA;NA
SI;Boštjan Koritnik;Minister of Public Administration;13 March 2020;NA;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Anže Logar;Minister of Foreign Affairs;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Marjan Dikaučič;Minister of Justice;15 June 2021;NA;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Zvone Černač;Minister without portfolio for Development and European Cohesion Policy;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Helena Jaklitsch;Minister without portfolio for Slovenian Diaspora;13 March 2020;NA;SDS;NA;NA;NA;NA;NA;NA;NA
SI;Marjan Šarec;Prime Minister;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Aleksandra Pivec;Minister of Agriculture, Forestry and Food;2018-09-13;2020-03-13;DeSUS;NA;NA;NA;NA;NA;NA;NA
SI;Dejan Prešiček;Minister of Culture;2018-09-13;2020-03-13;SD;NA;NA;NA;NA;NA;NA;NA
SI;Karl Erjavec;Minister of Defence;2018-09-13;2020-03-13;DeSUS;NA;NA;NA;NA;NA;NA;NA
SI;Zdravko Počivalšek;Minister of Economic Development and Technology;2018-09-13;2020-03-13;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Jernej Pikalo;Minister of Education, Science and Sport;2018-09-13;2020-03-13;SD;NA;NA;NA;NA;NA;NA;NA
SI;Jure Leben;Minister of Environment and Spatial Planning;2018-09-13;2020-03-13;SMC;NA;NA;NA;NA;NA;NA;NA
SI;Andrej Bertoncelj;Minister of Finance;2018-09-13;2020-03-13;LMŠ;NA;NA;NA;NA;NA;NA;NA
SI;Miro Cerar;Minister of Foreign Affairs;2018-09-13;2020-03-13;SMC;NA;NA;NA;NA;NA;NA;NA
